candidate_id,section,line,quote,class,status,engine_gate,consequence,minimal_fix,finding,verification
C0123,205,2492,"Если знаете пароль, воспользуйтесь им, если же нет, то придется на ходу придумать, что им скажете.",d,PARTIAL,"§95 auto_items.items=[""castle_password""]; §56→146 and §205→146 inventory_condition=""castle_password""; the seven excuse/combat alternatives have no inventory_missing",Knowledge gate exists; remembering the spoken password requires accepting an inventory offer and one free slot. The conditional negative alternatives remain offered when the password is known.,"Move knowledge grant to auto_items.flags, extend zero-slot/non-droppable flag handling. Under the literal if/else reading, add inventory_missing=""castle_password"" to those seven alternatives.",AS-12; AS-22,verified by code reading
C0154,281,3386,"Она говорит, что очень грустит по нему, и просит передать ему весточку, если встретите его и если он еще жив.",d,UNMODELLED,§281→612 plain choice; §740 has only→824; no bear-message flag,"The future greeting teleports directly from the forest to the bear reward; at the sleeping bear, the canon greeting route is absent.","Grant bear_greeting at §281; move→612 to §740 with inventory_condition=""bear_greeting""; retain the do-not-wake route.",AS-05,verified by execution: story_probes.js
C0155,281,3386,"Если вы захотите передать привет медведю, когда встретите его, загляните в параграф 612.",d,UNMODELLED,§281→612 plain choice; §740 has only→824; no bear-message flag,"The future greeting teleports directly from the forest to the bear reward; at the sleeping bear, the canon greeting route is absent.","Grant bear_greeting at §281; move→612 to §740 with inventory_condition=""bear_greeting""; retain the do-not-wake route.",AS-05,verified by execution: story_probes.js
C0162,297,3561,"Если вы уже делали и то, и другое, то 489.",d,UNMODELLED,§297/§411/§850→489 plain; §797 lacks→489,"Death is selectable on the first inspection at three paragraphs; the fourth omits the exhaustion outcome. The text says “both” after listing three alternatives, so the exact exhaustion threshold needs adjudication.",Track mirror/door/maps/wardrobe visits; gate→489 on an adjudicated shared exhaustion predicate; add the corresponding gated §797 exit. Negative guards on repeat inspections prevent looping.,AS-02,verified by execution: story_probes.js
C0204,385,4495,"Если вы ему поверили, то, когда увидите дерево, прибавьте 910 к номеру параграфа, на котором будете находиться, и попробуйте поискать клад.",d,PARTIAL,"§385→554 acquires=""treasure_lore""; §19→929 inventory_condition=""treasure_lore""",Treasure knowledge is a voluntary one-slot item.,Mandatory knowledge flag at §385; existing consumer gate retained.,AS-12,verified by code reading
C0214,390,4569,"Они просят, если вы его встретите, передать ему, что они живы и на свободе, и говорят, что если вам нужна будет его помощь, скажите ему:",d,PARTIAL,"§390 auto_items.items includes password_evenlo; §766→731 / §1080→1045 inventory_condition=""password_evenlo""","Message gate exists, but the already heard password can be refused/lost because it is physical inventory.",Mandatory zero-slot knowledge flag at §390; preserve both canon consumers (including the mistaken-recipient trap).,AS-12,verified by code reading
C0215,390,4571,"Если вы решили, что встретили их друга, вычтете 35 из номера того параграфа, где вы будете находиться, и попробуйте, если хотите, передать ему послание беглецов.",d,PARTIAL,"§390 auto_items.items includes password_evenlo; §766→731 / §1080→1045 inventory_condition=""password_evenlo""","Message gate exists, but the already heard password can be refused/lost because it is physical inventory.",Mandatory zero-slot knowledge flag at §390; preserve both canon consumers (including the mistaken-recipient trap).,AS-12,verified by code reading
C0227,411,4801,"Если уже сделали и то, и другое, тогда 489.",d,UNMODELLED,§297/§411/§850→489 plain; §797 lacks→489,"Death is selectable on the first inspection at three paragraphs; the fourth omits the exhaustion outcome. The text says “both” after listing three alternatives, so the exact exhaustion threshold needs adjudication.",Track mirror/door/maps/wardrobe visits; gate→489 on an adjudicated shared exhaustion predicate; add the corresponding gated §797 exit. Negative guards on repeat inspections prevent looping.,AS-02,verified by execution: story_probes.js
C0228,412,4814,"Если есть веревка, то 375, иначе или придется обойти скалу, если еще не делали этого (214), или пойти по другой дороге, вернувшись на развилку (424).",d,UNMODELLED,§412→214 has no visit predicate (its separate rope branch is gated correctly),The canon-restricted return around the rock is still offered after doing it.,"Grant cliff_circled on §214; inventory_missing=""cliff_circled"" at §412→214.",AS-08,verified by execution: story_probes.js
C0244,435,5075,"Если вы действительно уже встречали кого-то из их знакомых, то сложите порядковые номера букв, составляющих его имя, прибавьте, прибавьте к этому «30» и посмотрите параграф с этим номером.",d,PARTIAL,"§435 riddle valid_targets=[66], fail_target=100; applyRiddleAnswer accepts ГИЕНА without encounter history; §337/§458 have no relevant flag","A correct externally known name earns §66 and the comb without meeting the man. The failure route is modelled, the encounter prerequisite is not.",Grant hyena_met at §337 (§458 is the explicit message); check it in both localized-hash and RU riddle success paths; keep fail_target=100.,AS-04,verified by execution: story_probes.js
C0245,435,5075,"Если же вы обманули их, то ваш обман непременно откроется, и лучше уж самому начать бой — 100.",d,PARTIAL,"§435 riddle valid_targets=[66], fail_target=100; applyRiddleAnswer accepts ГИЕНА without encounter history; §337/§458 have no relevant flag","A correct externally known name earns §66 and the comb without meeting the man. The failure route is modelled, the encounter prerequisite is not.",Grant hyena_met at §337 (§458 is the explicit message); check it in both localized-hash and RU riddle success paths; keep fail_target=100.,AS-04,verified by execution: story_probes.js
C0250,439,5134,"— если отгадаешь загадку, подарок тебе сделаю, не отгадаешь — не солоно хлебавши уйдешь».",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 53, ""max_attempts"": 3, ""modifier"": 0, ""valid_targets"": [67]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0251,439,5134,"Если вы отгадали загадку, то, конечно же, поняли о чем или о ком идет речь.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 53, ""max_attempts"": 3, ""modifier"": 0, ""valid_targets"": [67]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0252,439,5134,"Если же не отгадали, как ни грустно, а придется уходить по дорожке, ведущей от дома (53).",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 53, ""max_attempts"": 3, ""modifier"": 0, ""valid_targets"": [67]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0263,458,5374,"Потом она просит передать привет разбойникам, если вы их встретите.",d,PARTIAL,"§435 riddle valid_targets=[66], fail_target=100; applyRiddleAnswer accepts ГИЕНА without encounter history; §337/§458 have no relevant flag","A correct externally known name earns §66 and the comb without meeting the man. The failure route is modelled, the encounter prerequisite is not.",Grant hyena_met at §337 (§458 is the explicit message); check it in both localized-hash and RU riddle success paths; keep fail_target=100.,AS-04,verified by execution: story_probes.js
C0296,534,6221,"Теперь, если придется выбираться из замка, а в комнате будет открытое окно, вы можете позвать его, посмотрев параграф 1138.",d,UNMODELLED,"§534→1138 plain; §835 has only→888 spell=""LEVITATION""; no pegasus_friend flag","Rescue is wired at the stable, while the open-window consumer omits it. With no Levitation left, §835 offers no usable escape even if Pegasus was befriended; without either means, the canonical death is not dispatched.","Grant pegasus_friend at §534; move→1138 to §835 with inventory_condition; if neither a usable spell nor Pegasus remains, dispatch the canonical death. Audit other windows before adding consumers.",AS-06,verified by execution: story_probes.js and ui_probes.js
C0338,627,7290,"Если волшебник жив, то 1120, если же он мертв, то 1220.",d,MODELLED,"§627/§976 auto_items.flags=[""princess_awake""]; →1220 inventory_condition=""barlad_dead""; →1120 inventory_missing=""barlad_dead""; flag granted at §81",Exactly one exit for either Barlad state in fresh play; AS-13 covers pre-flag saves.,,,verified by execution: story_probes.js
C0351,660,7652,"Если вы когда-нибудь захотите воспользоваться потайной лестницей из кабинета волшебника, подойдите к зеркалу и вычтите 13 из номера того параграфа, на котором будете находиться.",d,PARTIAL,"§660/§923/§937/§1174 auto_items.items includes mirror_secret; §297→284 / §677→664 inventory_condition=""mirror_secret""",The two mirror gates exist; learning the secret requires a one-slot pickup and can be declined or dropped.,Move each knowledge source to auto_items.flags; keep gates and physical parchment separate.,AS-12,verified by code reading
C0352,660,7652,"То же самое можете сделать, если надо будет от Принцессы попасть к магу — 740.",d,PARTIAL,"§660/§923/§937/§1174 auto_items.items includes mirror_secret; §297→284 / §677→664 inventory_condition=""mirror_secret""",The two mirror gates exist; learning the secret requires a one-slot pickup and can be declined or dropped.,Move each knowledge source to auto_items.flags; keep gates and physical parchment separate.,AS-12,verified by code reading
C0366,688,7942,"Однако если вам когда-нибудь снова придется осмотреть трон где-нибудь в другом месте, то прибавьте 400 к номеру параграфа, на котором будете осматривать трон.",d,PARTIAL,"§688 auto_items.items=[""white_arrow"",""throne_lore""]; §741→1141 inventory_condition=""throne_lore""",Reading throne lore does not guarantee retaining it; inventory capacity can block knowledge.,Grant throne_lore as a mandatory zero-slot flag; keep the white arrow as the optional physical object.,AS-12,verified by code reading
C0396,740,8511,"Если знаете, как вывести его из состояния задумчивости, сделайте это.",d,UNMODELLED,§281→612 plain choice; §740 has only→824; no bear-message flag,"The future greeting teleports directly from the forest to the bear reward; at the sleeping bear, the canon greeting route is absent.","Grant bear_greeting at §281; move→612 to §740 with inventory_condition=""bear_greeting""; retain the do-not-wake route.",AS-05,verified by execution: story_probes.js
C0397,740,8511,Иначе придется уходить — 824.,d,UNMODELLED,§281→612 plain choice; §740 has only→824; no bear-message flag,"The future greeting teleports directly from the forest to the bear reward; at the sleeping bear, the canon greeting route is absent.","Grant bear_greeting at §281; move→612 to §740 with inventory_condition=""bear_greeting""; retain the do-not-wake route.",AS-05,verified by execution: story_probes.js
C0416,774,8908,"Если нет, то можете взять, если еще не делали этого, серебряный сосуд (1084), стеклянный сосуд (848) или выйти из комнаты и войти в следующую (1003).",d,UNMODELLED,§774→1084 / →848 have no inventory_missing or visited check,Inspection choices remain after the vessels have been inspected; auto_items first-visit protection prevents claiming this is duplicate loot.,Grant separate silver/glass-vessel inspection flags at §1084/§848; negative gates on the matching §774 choices.,AS-09,verified by execution: story_probes.js
C0418,778,8952,"Теперь, если вы еще этого не сделали, можете посмотреть два оставшихся сундука: большой (626) или средний (1208), или же вернуться в комнату (1082).",d,UNMODELLED,§778→626 / →1208 have no previous-inspection predicate,The “not done this yet” chest inspection condition is omitted; the exit→1082 is unaffected.,Separate inspected-chest flags at §626/§1208 and inventory_missing on those two choices.,AS-10,verified by execution: story_probes.js
C0434,797,9207,"Если вы уже осмотрели и то, и другое, то 489.",d,UNMODELLED,§297/§411/§850→489 plain; §797 lacks→489,"Death is selectable on the first inspection at three paragraphs; the fourth omits the exhaustion outcome. The text says “both” after listing three alternatives, so the exact exhaustion threshold needs adjudication.",Track mirror/door/maps/wardrobe visits; gate→489 on an adjudicated shared exhaustion predicate; add the corresponding gated §797 exit. Negative guards on repeat inspections prevent looping.,AS-02,verified by execution: story_probes.js
C0453,835,9652,"Если же нет, остается только позвать Пегаса.",d,UNMODELLED,"§534→1138 plain; §835 has only→888 spell=""LEVITATION""; no pegasus_friend flag","Rescue is wired at the stable, while the open-window consumer omits it. With no Levitation left, §835 offers no usable escape even if Pegasus was befriended; without either means, the canonical death is not dispatched.","Grant pegasus_friend at §534; move→1138 to §835 with inventory_condition; if neither a usable spell nor Pegasus remains, dispatch the canonical death. Audit other windows before adding consumers.",AS-06,verified by execution: story_probes.js and ui_probes.js
C0454,835,9654,"Если вы и этого не можете сделать, то через несколько часов стены комнаты раскалятся и сдвинутся, а вам придется спокойно смотреть на это и торопить смерть…",d,UNMODELLED,"§534→1138 plain; §835 has only→888 spell=""LEVITATION""; no pegasus_friend flag","Rescue is wired at the stable, while the open-window consumer omits it. With no Levitation left, §835 offers no usable escape even if Pegasus was befriended; without either means, the canonical death is not dispatched.","Grant pegasus_friend at §534; move→1138 to §835 with inventory_condition; if neither a usable spell nor Pegasus remains, dispatch the canonical death. Audit other windows before adding consumers.",AS-06,verified by execution: story_probes.js and ui_probes.js
C0461,850,9826,"Если вы уже сделали и то, и другое, то 489.",d,UNMODELLED,§297/§411/§850→489 plain; §797 lacks→489,"Death is selectable on the first inspection at three paragraphs; the fourth omits the exhaustion outcome. The text says “both” after listing three alternatives, so the exact exhaustion threshold needs adjudication.",Track mirror/door/maps/wardrobe visits; gate→489 on an adjudicated shared exhaustion predicate; add the corresponding gated §797 exit. Negative guards on repeat inspections prevent looping.,AS-02,verified by execution: story_probes.js
C0489,915,10491,"Если знаете пароль, то 784, если же нет придется пробиваться с помощью меча.",d,MODELLED,§915→784 leads to password-selection challenge; §784 choices→392/1011/965/858,Knowledge is demonstrated by choosing the answer at §784; unknown-password failures are explicit. No earlier learning event is required by the quoted sentence.,,,verified by code reading
C0493,923,10588,"Теперь, когда увидите зеркало и захотите воспользоваться им, вычтете 13 из номера параграфа, на котором будете находиться и прочтите, что будет дальше.",d,PARTIAL,"§660/§923/§937/§1174 auto_items.items includes mirror_secret; §297→284 / §677→664 inventory_condition=""mirror_secret""",The two mirror gates exist; learning the secret requires a one-slot pickup and can be declined or dropped.,Move each knowledge source to auto_items.flags; keep gates and physical parchment separate.,AS-12,verified by code reading
C0502,937,10736,"Когда вы увидите зеркало, которым захотите воспользоваться, вычтете 13 из того параграфа, на котором вы его увидели.",d,PARTIAL,"§660/§923/§937/§1174 auto_items.items includes mirror_secret; §297→284 / §677→664 inventory_condition=""mirror_secret""",The two mirror gates exist; learning the secret requires a one-slot pickup and can be declined or dropped.,Move each knowledge source to auto_items.flags; keep gates and physical parchment separate.,AS-12,verified by code reading
C0528,976,11161,"Если волшебник еще жив, то 1120, если же мертв, то 1220.",d,MODELLED,"§627/§976 auto_items.flags=[""princess_awake""]; →1220 inventory_condition=""barlad_dead""; →1120 inventory_missing=""barlad_dead""; flag granted at §81",Exactly one exit for either Barlad state in fresh play; AS-13 covers pre-flag saves.,,,verified by execution: story_probes.js
C0531,992,11332,"Если отгадаешь, я тебе кое-что дам!..",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 1123, ""max_attempts"": 3, ""modifier"": 825, ""valid_targets"": [932]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0532,992,11336,"Если вы не хотите здесь оставаться или не знаете ответа, то уходите — 1123.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 1123, ""max_attempts"": 3, ""modifier"": 825, ""valid_targets"": [932]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0575,1098,12436,"Теперь можете, если еще не делали этого, осмотреть шкаф (94).",d,UNMODELLED,§1098→94 / →1196 are both plain choices,The cabinet can be inspected again despite “if not yet”; the alternative assumes that inspection happened.,"Grant cupboard_inspected at §94; negative gate on→94, positive gate on→1196.",AS-11,verified by execution: story_probes.js
C0576,1098,12436,"Если и это сделали, тогда выходите через дверь, в которую входили Зеленые рыцари — 1196.",d,UNMODELLED,§1098→94 / →1196 are both plain choices,The cabinet can be inspected again despite “if not yet”; the alternative assumes that inspection happened.,"Grant cupboard_inspected at §94; negative gate on→94, positive gate on→1196.",AS-11,verified by execution: story_probes.js
C0581,1113,12603,"Если вы не знаете ответ на загадку, то 1190.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 1190, ""max_attempts"": 3, ""modifier"": 1046, ""valid_targets"": [1131]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0582,1113,12603,"Если знаете, то сложите порядковые номера букв, из которых состоит слово, к сумме прибавьте 1046, и полученное число будет следующим номером параграфа.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 1190, ""max_attempts"": 3, ""modifier"": 1046, ""valid_targets"": [1131]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0588,1131,12779,"Хотя, впрочем, я не сделаю этого, если ты отгадаешь мою вторую загадку, ведь первая была очень легкой…",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 1190, ""max_attempts"": 3, ""modifier"": 916, ""valid_targets"": [992]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0589,1131,12779,"Если ты ответишь мне, то я оставлю тебе жизнь и отпущу, иначе — смерть…».",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 1190, ""max_attempts"": 3, ""modifier"": 916, ""valid_targets"": [992]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0590,1131,12779,"Если знаете ответ, то к сумме порядковых номеров букв алфавита прибавьте 916 и, если ответ правилен, вы попадете на нужный параграф.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 1190, ""max_attempts"": 3, ""modifier"": 916, ""valid_targets"": [992]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0591,1131,12779,"Если же нет, то 1190.",d,MODELLED,"riddle={""alphabet_mode"": ""ru_standard"", ""fail_target"": 1190, ""max_attempts"": 3, ""modifier"": 916, ""valid_targets"": [992]}; applyRiddleAnswer / localeRiddleTarget",The typed solution proves puzzle knowledge; failure/attempt limits route through fail_target. A prior visit is not demanded by this canon sentence.,,,verified by code reading
C0595,1141,12877,"Вы помните, как открывался потайной ящичек в троне, стоящем в столовой.",d,PARTIAL,"§688 auto_items.items=[""white_arrow"",""throne_lore""]; §741→1141 inventory_condition=""throne_lore""",Reading throne lore does not guarantee retaining it; inventory capacity can block knowledge.,Grant throne_lore as a mandatory zero-slot flag; keep the white arrow as the optional physical object.,AS-12,verified by code reading
C0612,1174,13246,"Вам в голову приходит мысль, что, возможно, это не единственный потайной ход в замке, и если вам что-нибудь по этому поводу покажется подозрительным, вычтите 13 из номера параграфа, на котором будете находиться.",d,PARTIAL,"§660/§923/§937/§1174 auto_items.items includes mirror_secret; §297→284 / §677→664 inventory_condition=""mirror_secret""",The two mirror gates exist; learning the secret requires a one-slot pickup and can be declined or dropped.,Move each knowledge source to auto_items.flags; keep gates and physical parchment separate.,AS-12,verified by code reading
C0638,1212,13679,"Если все же поставили на кон какую-нибудь вещицу из вашего мешка, тогда кидайте кость — 910.",d,MODELLED,"§1212 stake_picker=true; renderStakePicker records S.bet_stake, removes the chosen item, then goTo(stake_roll_target||910)",The item-staked route requires an item selection. Persistence of a betting round is a separate mechanics finding AS-14.,,,verified by code reading
