candidate_id,section,line,quote,class,reason,match_patterns
C0031,49,667,"Если у вас нет столько денег, то вам придется отгонять ее мечом (744).",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0032,56,743,"Если вы знаете пароль, воспользуйтесь им, если же нет, то придется на ходу быстро придумать, что вы скажете стражам.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if;prior_knowledge
C0033,56,743,"Если у вас не хватает воображения, ну что ж, тогда сражайтесь (700).",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0034,58,772,"Если вы убили его, то можете взять бронзовый свисток из его кармана и отправляться дальше по тропинке в лес — 580.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0035,59,784,"Если вы торопитесь, то можете идти дальше вперед (1203), если же жажда мести берет верх, вы можете свернуть с дороги и сразиться с Оборотнем, чей силуэт виднеется неподалеку от того места, где упало дерево (506).",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0036,63,822,Но вы убили честного человека — потеряйте 1 УДАЧУ.,e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",prior_knowledge
C0037,65,854,"Если вы их убили, то 666.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if
C0038,67,878,"Если захотите ее продать, то просите за нее не больше 5 золотых.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0039,67,878,"Если вы знаете, что это, то проделайте такое же сложение, если нет, придется уходить — 53.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if;prior_knowledge
C0040,69,905,"Когда вы добьете своих врагов, можете забрать у них бронзовый свисток и медный ключик, которые им больше не понадобятся, и продолжать путь — 19.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",when
C0041,70,918,"Если знаете, как открыть ее, то сделайте это, иначе либо придется идти к воротам (205), либо дальше в обход замка, пробивая себе дорогу через густые заросли — 525.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if;otherwise
C0042,71,928,"Если на пути вам встретится Орк, то исход битвы с ним будет предрешен — вы убиваете его прежде, чем он успевает защититься.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if
C0043,71,928,"Однако, если врагов будет несколько, то с остальными вам придется драться.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if
C0044,73,963,"Если вам удалось победить их, то 500.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0045,74,976,"Можете взять его с собой (когда он вам понадобится, прибавьте 750 к номеру параграфа, на котором будете находиться) и покинуть остров.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",when
C0046,74,976,"Прибавьте себе 1 УДАЧУ, даже если вы еще ни разу не проверяли ее, — 614.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0047,75,985,"Если вы сейчас съели все 6 бананов, то возьмите еще 6, но теперь только в заплечный мешок.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0048,75,985,"Если такой случай представится, то продавайте не больше, чем за 2 золотых.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0049,76,994,"Вам не очень понятен его смысл, но, может быть, когда-нибудь станет ясно, что имелось в виду.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0050,76,994,"Если согласны на это, то 487, если же нет, то поблагодарите, возьмите шкуру оленя и уходите — 560.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0051,80,1044,"Когда шли по дороге, чуть было не прошли мимо незаметной тропинки.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0052,81,1054,"Если уже удалось разбудить Принцессу, то 1220.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if;prior_knowledge
C0053,81,1054,"Если же нет, то можете обратить внимание на побежденного врага (623) или осмотреть его кабинет: подойти к шкафу (797), к двери в противоположной стене (411), посмотреть карты на столе (850) или подойти к зеркалу (297).",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if
C0054,88,1131,"Хозяин говорит, что до замка вы дойдете обязательно, если никуда не будете сворачивать, а будете все время прямо.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0055,88,1131,"Когда ты наденешь его на палец, то станешь невидимым.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",when
C0056,88,1133,"Теперь, когда вы захотите им воспользоваться, то, надев его на палец, вы просто проходите мимо через препятствие, и ваши незадачливые враги вас не заметят.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",when
C0057,91,1175,"Если знаете как ее отпереть, пожалуйста, отпирайте.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0058,91,1175,Иначе придется идти дальше по коридору — 671.,a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",otherwise
C0059,93,1193,"А что, если оно сможет вытянуть вас из болота?",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0060,93,1193,"Если оно у вас есть, используйте его (130), если же нет, то ваше путешествие закончено…",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0061,94,1202,"Она поможет вам, если вы того желаете, отвезти Принцессу вместе с вами на волшебном коне домой, к ее отцу, но дело в том, что это возможно в том случае, когда у вас не будет возможности победить злого волшебника, и Барлад Дэрт останется жив.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if;when
C0062,94,1202,"Если нужно будет обратиться за помощью к волшебному коню, то посмотрите параграф 989 и фигурка спасет вас.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if
C0063,94,1202,А пока можете осмотреть стол (1098) или выйти через дверь в другом углу комнаты (1196).,e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0064,95,1213,"Когда вам понадобится пароль, обратитесь к параграфу с этим номером, и вы войдете.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",when
C0065,95,1213,"Если убьешь на поединке чужеземного рыцаря, промолчит и сон твой не нарушит.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0066,95,1213,"Если же в бою врага со спины убьешь, разговорами замучит, пожалеешь, что родился».",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0067,95,1213,"Если знаете отгадку, поступите с ней так же, как и с предыдущими: прибавьте к результату 50 и посмотрите нужный параграф.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if
C0068,95,1213,"Если же нет, то придется уходить — 53.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if
C0069,96,1228,"Если вы победили врага, то путь вперед свободен, и вы бежите дальше по коридору, пока дорогу не преграждает дверь — 45.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;when;prior_knowledge
C0070,99,1263,"Надежда забилась у вас в груди, но радость тут же сменяется ужасом, когда вы видите двух Гоблинов, проверяющих капканы, поставленные на ночь.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0071,100,1273,"Если хотите, воспользуйтесь заклятием Копии.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0072,100,1290,"Если вы победили их, то можете либо поскорее уйти, опасаясь, что поблизости могут быть их друзья (452), либо обшарить карманы убитых (335).",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0073,104,1333,"Если вы удачливы, то 30, если нет — 374.",c,"Luck, dice, or random-outcome condition.",if
C0074,110,1404,"Убив ее, можете осмотреть ее логово (1137) или, если опасаетесь, что в яме есть еще такие твари, быстро вылезете из нее и вернетесь на дорогу (397)?",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if
C0075,113,1447,"Между Орками разыгрывается спор, но в конце концов решают вас освободить, но с одним условием: если вы пройдете одно испытание — 781.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0076,116,1474,"Когда перейдете на 1175 и будете сражаться со стражей, то можете уменьшить на 2 СИЛУ УДАРА любого из Орков.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",when
C0077,129,1607,"Если вы убили Гоблина, то, быстро обшарив его карманы, находите изящный бронзовый свисток.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0078,131,1636,"Если вы победили обоих стражей, то можете уйти обратно (1029), либо подойти к краю стены и посмотреть сквозь зубцы вниз (791).",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0079,131,1636,"Если у вас есть заклятие Левитации, то можете подняться по воздуху вверх (836), или в какое-нибудь окно на вашем этаже: в окно справа (907) или в окно слева (1075).",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0080,132,1652,Если вы что-то хотите купить — покупайте.,e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0081,132,1652,"Все, кроме молока и воды (если вам не в чем ее нести), можете съесть сразу или же взять с собой.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0082,132,1652,"Если хотите, можете купить еще и заплечный мешок.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0083,132,1652,"Однако два заплечных мешка нести неудобно, и если свой у вас еще с собой, вы должны будете оставить его в доме у торговца.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0084,133,1662,"Вы уже на середине озера, когда внезапно замечаете стаю крупных рыб, плывущих наперерез.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0085,134,1672,"И когда через пару месяцев кто-нибудь из Орков случайно забредет в эту комнату, он увидит трупы не только охранников, но и скончавшегося от голода узника…",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0086,135,1682,"Если да, то 166, если нет — 633.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0087,140,1730,"Когда он будет нужен, прибавляйте 30 к номеру параграфа, на котором будет дверь, открываемая Золотым ключом.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",when
C0088,143,1761,"Пока вы стоите в беспомощном состоянии, шпион злорадно разглядывает вас, явно думая развлечься, собираясь помучить свою жертву.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0089,146,1809,"Если вы пришли с параграфа 205, то отправляйтесь на 933, если же с параграфа 56, то на 1054.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if
C0090,147,1819,"Пока лезете за короной и любуетесь ею, мама-птица бесшумно возвращается в гнездо покормить своих любимцев.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0091,147,1821,"Отказываться от подарка нельзя, даже если вам неловко оттого, что вы уже взяли подарок — корону.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0092,155,1900,"Если бы вы были более внимательны, то заметили бы, что все звериные следы не только сходятся к середине поляны, но и заканчиваются там.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if;prior_knowledge
C0093,155,1900,"Когда вы уже близки к этому месту, земля расступается под вашими ногами, и вы проваливаетесь вниз.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0094,160,1955,"Прибавьте 2 к своей СИЛЕ УДАРА, когда будете драться — 46.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",when
C0095,162,1980,"Если вы убили Гоблина, возьмите его бронзовый свисток и перейдите мост — 568.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0096,163,1998,"Когда пойдешь туда, то увидишь пять дверей.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0097,164,2009,"Пока перебирались через реку, успели заметить справа, ниже по реке, мост, который наверняка должен охраняться.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0098,164,2009,"Ваше удивление еще больше возрастает, когда он ударяется о землю и превращается в юношу оруженосца.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0099,165,2019,"Вы же переводите дух и идете вперед, пока не выходите на другую тропинку — 594.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0100,169,2058,"Попробуете напасть на него, или если у вас нет арбуза, войдете в дом, показав Хозяину свой мешок?",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0101,171,2083,"Потом идете еще около двух часов без приключений, пока дорога не раздваивается.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0102,174,2117,"Если вам удалось победить рыцаря, то идите по коридору дальше, пока не дойдете до двери — 45.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;when;prior_knowledge
C0103,176,2141,"Если пойдете на юг, то придете к тому, кто вас послал; если же на запад, то там таких как вы не любят.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0104,176,2141,"Но, так или иначе, все же надо решать, куда идти — на запад (207), на юг (316) или пойдете дальше осматривать деревню (202).",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",otherwise
C0105,177,2158,"Если вы победили его, то сделали это как раз вовремя, так как навстречу вам выходит львица.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0106,182,2217,"Если убили его, то сделали это как раз вовремя, поскольку на его зов прибегает здоровенный Гоблин.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if
C0107,182,2223,"Теперь вы знаете для чего они нужны, но, если хотите, можете взять один свисток для себя.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if;prior_knowledge
C0108,182,2233,"Если у вас нет ни того, ни другого, идите вдоль берега, на запад, откуда прибежал Гоблин — 589.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0109,185,2268,"Если да, то о чем вы спросите его: как лучше попасть в Черный замок (442), где можно купить еду (340) или что находится поблизости от деревни (176)?",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0110,186,2280,"Потом слышатся грубые голоса орков, и вам приходится затаить дыхание, когда телега останавливается прямо возле них.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0111,188,2302,"Если же все время идти налево, то насколько он знает, можно добраться до замка (Торговец рассказывает, что Черный замок действительно существует), и сам он по этой дороге не раз ходил.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0112,188,2302,"Когда однажды он пытался войти в замок со своими товарами (его туда так и не пустили), то видел, как стража извлекла из воза с сеном какого-то человека, пытавшегося проникнуть в цитадель незамеченным.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0113,189,2311,"Пока вы привыкали к свету, люк встал на место, и теперь вы не можете вспомнить, где он находился раньше.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0114,192,2348,"Заклятие действует, и вы можете прибавлять 2 к своей СИЛЕ УДАРА, когда будете сражаться, — 532.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",when
C0115,193,2357,Теперь ковер можно сложить в заплечный мешок — он вам пока не понадобится.,e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0116,193,2357,"Если свободных мест не хватает, то придется либо оставить ковер, либо выкинуть из мешка лишние вещи.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0117,196,2392,"Когда последний из них занимает свое место, столы вдруг начинают светиться багрянцем, каким освещается горизонт на закате, когда солнце должно вот-вот скрыться.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0118,197,2408,"Если вы победили медведицу, то выбираетесь из берлоги и идете дальше по дороге, которая уводит в глубь леса — 669.",b,"Combat outcome, damage, reinforcement, fleeing, deadline, or combat modifier; handled separately from persistent story history.",if;prior_knowledge
C0119,198,2420,"И он кидает на дорогу клубочек, который, как нетерпеливый котенок, начинает подпрыгивать и носиться взад и вперед, ожидая пока вы тронетесь в путь.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0120,199,2429,"Потеряйте 9 ВЫНОСЛИВОСТЕЙ и, если еще живы, возвращайтесь на дорогу — 244.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0121,202,2462,"Хотите попить (229), наполнить флягу, если она пуста (427), или не будете рисковать и пойдете дальше (599)?",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0122,203,2473,"Если вы удачливы, то 62, если же нет, то вам не удастся всплыть, как бы вы не старались.",c,"Luck, dice, or random-outcome condition.",if
C0123,205,2492,"Если знаете пароль, воспользуйтесь им, если же нет, то придется на ходу придумать, что им скажете.",d,"Knowledge, promise, prior encounter, previous visit/action, or named character state; reviewed in STORY_STATE_TABLE.csv.",if
C0124,220,2652,"Он вас предупреждает, что когда вы переберетесь через реку (а вам нужно будет это сделать), то на берегу вас будет ожидать охрана: парочка Гоблинов.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0125,225,2700,"Теперь уходите подобру-поздорову, пока в сторожке ничего не заметили — 590.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0126,226,2709,"Если у вас есть волшебный перстень, то вы знаете, что надо делать.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if;prior_knowledge
C0127,226,2709,"Если же нет, то разбудить Принцессу не удастся и вы можете либо подойти к зеркалу (1057), либо к столикам, на которых горят свечи (860).",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0128,227,2719,"Однако в последней комнате, когда собрались уходить, обнаруживаете в углу небольшой сундучок.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0129,227,2719,"Однако, если возьмете коврик с собой, то он займет в вашем заплечном мешке целых три места, которые придется освободить, если они заняты.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0130,227,2721,"Однако, если считаете, что это опасно, возьмите ковер для другого случая и шагайте по дороге дальше — 529.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",if
C0131,228,2731,"Но, так или иначе, а выбор делать надо.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",otherwise
C0132,230,2751,"Если остались живы, то скрывайтесь в лесу, где Дракон не может вас преследовать, — 70.",a,"Item, money, spell, bag, or numerical resource condition; an acquisition verb alone does not make possession a story-history predicate.",if
C0133,231,2760,"Вам срочно нужно грести к берегу, пока в корпус лодки не набралось много воды.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
C0134,232,2774,"Когда поворачиваете налево, звезда ничего не показывает, но вернувшись на перекресток и выбрав путь прямо, звезда начинает излучать слабое свечение.",e,"Narrative, counterfactual, quoted lore, or an immediate voluntary choice; no branch in this sentence depends on a prior deed.",when
